Name,Type,Quantity,Mana,Cost,Power,2,3,4,%,Rules
White,Defense,1,2,,1,2,,,0.60%,Take ◇ from the power of an attack based on the power rating of the defense.
Grey,Defense,1,2,,3,8,,,0.60%,Take ◇ from the power of an attack based on the power rating of the defense.
Black,Defense,1,2,,1,2,3,4,0.60%,Take ◇ from the power of an attack based on the power rating of the defense.
Wild,Defense,1,2,,1,3,6,,0.60%,Take ◇ from the power of an attack based on the power rating of the defense.
Thaumaturgy,Action,1,5,,,,,,0.60%,"Returns one taken color, can break a set. "
Compulsion,Action,2,4,,,,,,1.20%,Take one complete color set from another player.
Shatter,Action,2,3,,,,,,1.20%,"Break one color synthesis, victim keeps cards."
Alchemy,Action,2,3,,,,,,1.20%,Swap one color card with another player.
Prestidigitation,Action,2,3,,,,,,1.20%,Take one color card from another player.
Allurement,Action,3,2,,,,,,1.81%,Take ◇5 from another player.
Tribute,Action,3,2,,,,,,1.81%,All players surrender ◇2 to player.
Arcane Augmentation,Action,4,1,,,,,,2.41%,Doubles the power of an attack or defense.
Soothsayer,Action,1,5,,,,,,0.60%,"Name a card, if any player has that card in hand they must reveal they are holding it."
Evocation,Action,4,1,,,,,,2.41%,Lower costs by ◇2.
Vanquish,Counter,1,5,,,,,,0.60%,Player is protected from a single cataclysm.
Negate,Counter,4,3,,,,,,2.41%,"Cancels one action, attack, or counter."
Burden,Counter,3,3,,,,,,1.81%,"Reduces the effectiveness of an attack by half, round up."
Constrain,Counter,3,2,,,,,,1.81%,"Reduces the effectiveness of a defense by half, round up."
Wealth,Deck,10,1,,,,,,6.02%,Collect two cards.
Aspiration,Deck,3,3,,,,,,1.81%,Discard all cards and collect seven cards.
Faith,Deck,1,5,,,,,,0.60%,Discard all cards and collect nine cards.
Influence,Deck,2,4,,,,,,1.20%,Force a player to skip their next card draw.
